player_id,team_id,goals,assists,minutes_played
657,14,0,0,0
415,34,0,0,0
771,30,0,0,0
1174,38,0,0,0
1165,13,0,0,0
431,35,0,0,0
358,41,0,0,0
562,41,0,0,0
740,30,0,0,0
602,47,0,0,0
967,9,0,0,0
250,38,0,0,0
1026,40,0,0,0
55,41,0,0,0
972,12,0,0,0
820,45,0,0,0
1005,26,0,0,0
1066,36,0,0,0
285,18,0,0,0
724,19,0,0,0
418,38,0,0,0
738,15,0,0,0
476,24,0,0,0
311,38,0,0,0
744,17,0,0,0
266,24,0,0,0
982,3,0,0,0
681,13,0,0,0
1131,36,0,0,0
561,27,0,0,0
1185,42,0,0,0
469,42,0,0,0
72,9,0,0,0
276,15,0,0,0
841,6,0,0,0
1079,40,0,0,0
411,11,0,0,0
908,19,0,0,0
785,43,0,0,0
709,38,0,0,0
671,27,0,0,0
851,12,0,0,0
312,13,0,0,0
532,15,0,0,0
773,22,0,0,0
697,27,0,0,0
288,4,0,0,0
465,37,0,0,0
672,18,0,0,0
81,37,0,0,0
950,40,0,0,0
603,35,0,0,0
135,14,0,0,0
349,47,0,0,0
816,1,0,0,0
1142,40,0,0,0
730,33,0,0,0
1085,47,0,0,0
126,39,0,0,0
413,22,0,0,0
1038,33,0,0,0
94,10,0,0,0
926,13,0,0,0
923,6,0,0,0
1183,41,0,0,0
864,36,0,0,0
665,40,0,0,0
236,39,0,0,0
366,12,0,0,0
883,44,0,0,0
986,24,0,0,0
62,20,0,0,0
414,34,0,0,0
643,25,0,0,0
278,10,0,0,0
142,20,0,0,0
516,13,0,0,0
1198,22,0,0,0
56,31,0,0,0
376,47,0,0,0
978,4,0,0,0
705,7,0,0,0
67,22,0,0,0
1204,22,0,0,0
893,31,0,0,0
567,47,0,0,0
617,10,0,0,0
377,23,0,0,0
870,16,0,0,0
280,41,0,0,0
105,24,0,0,0
1037,30,0,0,0
717,31,0,0,0
252,46,0,0,0
57,31,0,0,0
419,2,0,0,0
488,26,0,0,0
214,22,0,0,0
202,19,0,0,0
228,33,0,0,0
324,7,0,0,0
751,39,0,0,0
51,4,0,0,0
196,7,0,0,0
359,42,0,0,0
479,15,0,0,0
1116,27,0,0,0
577,38,0,0,0
645,8,0,0,0
283,9,0,0,0
559,15,0,0,0
10,21,0,0,0
827,4,0,0,0
34,29,0,0,0
856,26,0,0,0
1081,32,0,0,0
641,22,0,0,0
547,37,0,0,0
1217,1,0,0,0
845,1,0,0,0
527,18,0,0,0
150,48,0,0,0
125,16,0,0,0
436,16,0,0,0
178,31,0,0,0
572,9,0,0,0
799,30,0,0,0
395,4,0,0,0
828,31,0,0,0
229,33,0,0,0
1043,47,0,0,0
783,6,0,0,0
784,41,0,0,0
371,34,0,0,0
168,21,0,0,1
185,41,0,0,1
768,19,0,0,2
793,3,0,0,2
805,46,0,0,2
1222,10,0,0,2
379,1,0,0,2
1102,48,0,0,3
759,41,0,0,3
791,35,0,0,4
453,46,0,0,4
445,42,0,0,5
515,18,0,0,6
192,14,0,0,6
1106,14,0,0,6
484,17,0,0,7
499,45,0,0,7
1051,38,0,0,7
112,10,0,0,7
1040,47,0,0,8
661,37,0,0,8
47,33,0,0,8
743,19,0,0,10
215,42,0,0,10
417,11,0,0,10
778,30,0,0,11
118,33,0,0,11
642,25,0,0,11
949,18,0,0,12
858,26,0,0,12
430,14,0,0,12
587,18,0,0,12
243,43,0,0,12
548,32,0,0,12
102,6,0,0,12
871,15,0,0,12
540,9,0,0,12
226,28,0,0,12
651,25,0,0,12
384,16,0,0,12
726,36,0,0,13
857,26,0,0,13
638,40,0,0,13
1215,22,0,0,13
299,22,0,0,14
357,33,0,0,14
58,7,0,0,15
206,45,0,0,15
859,26,0,0,15
842,17,0,0,15
143,39,0,0,16
170,39,0,0,16
531,48,0,0,16
933,30,0,0,17
1227,25,0,0,17
583,9,0,0,17
208,31,0,0,18
48,34,0,0,18
442,28,0,0,18
71,28,0,0,18
1146,40,0,0,19
542,12,0,0,19
281,15,0,0,19
99,26,0,0,19
1008,34,0,0,19
1175,14,0,0,19
490,19,0,0,19
865,23,0,0,20
1050,14,0,0,20
649,14,0,0,20
648,16,0,0,20
390,38,0,0,21
136,28,0,0,21
91,9,0,0,22
1064,26,0,0,22
59,46,0,0,22
1234,29,0,0,22
1110,12,0,0,22
646,42,0,0,22
1107,25,0,0,23
735,13,0,0,23
124,38,0,0,23
165,48,0,0,23
974,20,0,0,24
1181,2,0,0,24
